Frame: 14, ID: 9 Class: car, Coor: 2196,1880,2216,1906
Frame: 14, ID: 10 Class: clock, Coor: 2382,1879,2438,1944
Frame: 14, ID: 16 Class: car, Coor: 2078,1845,2099,1872
Frame: 14, ID: 17 Class: car, Coor: 2018,1827,2041,1855
Frame: 15, ID: 3 Class: bird, Coor: 3423,1322,3497,1399
Frame: 15, ID: 4 Class: bird, Coor: 2490,1307,2597,1426
Frame: 15, ID: 5 Class: bird, Coor: 2131,1311,2303,1435
Frame: 15, ID: 8 Class: bird, Coor: 2137,1864,2157,1888
Frame: 15, ID: 9 Class: car, Coor: 2196,1880,2216,1906
Frame: 15, ID: 10 Class: clock, Coor: 2382,1879,2438,1944
Frame: 15, ID: 16 Class: car, Coor: 2078,1845,2099,1872
Frame: 15, ID: 17 Class: car, Coor: 2018,1827,2041,1855
Frame: 16, ID: 3 Class: bird, Coor: 3423,1322,3498,1399
Frame: 16, ID: 4 Class: bird, Coor: 2489,1307,2598,1426
Frame: 16, ID: 5 Class: bird, Coor: 2133,1310,2305,1433
Frame: 16, ID: 8 Class: bird, Coor: 2137,1864,2157,1888
Frame: 16, ID: 9 Class: car, Coor: 2196,1881,2216,1906
Frame: 16, ID: 10 Class: clock, Coor: 2382,1879,2438,1944
Frame: 16, ID: 16 Class: car, Coor: 2078,1845,2099,1871
Frame: 16, ID: 17 Class: car, Coor: 2018,1827,2041,1855
Frame: 17, ID: 4 Class: bird, Coor: 2490,1307,2599,1427
Frame: 17, ID: 5 Class: bird, Coor: 2136,1307,2309,1432
Frame: 17, ID: 8 Class: bird, Coor: 2137,1864,2157,1888
Frame: 17, ID: 9 Class: car, Coor: 2196,1881,2216,1906
Frame: 17, ID: 10 Class: clock, Coor: 2382,1879,2438,1944
Frame: 17, ID: 16 Class: car, Coor: 2078,1845,2099,1871
Frame: 17, ID: 17 Class: car, Coor: 2018,1827,2041,1855
Frame: 18, ID: 4 Class: bird, Coor: 2490,1307,2599,1427
Frame: 18, ID: 5 Class: bird, Coor: 2140,1306,2310,1429
Frame: 18, ID: 8 Class: bird, Coor: 2138,1864,2157,1888
Frame: 18, ID: 9 Class: car, Coor: 2196,1881,2216,1906
Frame: 18, ID: 10 Class: clock, Coor: 2382,1879,2438,1944
Frame: 18, ID: 16 Class: car, Coor: 2078,1845,2099,1871
Frame: 18, ID: 17 Class: car, Coor: 2018,1827,2041,1855
Frame: 19, ID: 4 Class: bird, Coor: 2490,1306,2599,1427
Frame: 19, ID: 5 Class: bird, Coor: 2143,1305,2310,1426
Frame: 19, ID: 8 Class: bird, Coor: 2137,1863,2158,1888
Frame: 19, ID: 9 Class: car, Coor: 2197,1881,2216,1906
Frame: 19, ID: 10 Class: clock, Coor: 2382,1879,2438,1944
Frame: 19, ID: 17 Class: car, Coor: 2018,1827,2041,1855
Frame: 20, ID: 3 Class: bird, Coor: 3423,1322,3498,1400
Frame: 20, ID: 4 Class: bird, Coor: 2490,1306,2599,1427
Frame: 20, ID: 5 Class: bird, Coor: 2145,1302,2312,1425
Frame: 20, ID: 8 Class: bird, Coor: 2137,1863,2158,1888
Frame: 20, ID: 9 Class: car, Coor: 2197,1880,2217,1906
Frame: 20, ID: 10 Class: clock, Coor: 2382,1879,2438,1944
Frame: 20, ID: 17 Class: car, Coor: 2018,1827,2041,1855
Frame: 20, ID: 29 Class: car, Coor: 3229,1857,3386,1980
Frame: 21, ID: 3 Class: bird, Coor: 3423,1321,3498,1400
Frame: 21, ID: 4 Class: bird, Coor: 2490,1306,2599,1427
Frame: 21, ID: 5 Class: bird, Coor: 2146,1300,2315,1424
