Frame: 13, Class: person, Coor: 2490,1307,2599,1427
Frame: 13, Class: car, Coor: 3424,1323,3497,1399
Frame: 13, Class: car, Coor: 2835,359,2871,403
Frame: 14, Class: bird, Coor: 2382,1880,2439,1945
Frame: 14, Class: car, Coor: 2198,1881,2216,1907
Frame: 14, Class: bird, Coor: 2138,1864,2158,1889
Frame: 14, Class: clock, Coor: 2079,1846,2099,1872
Frame: 14, Class: bird, Coor: 2019,1827,2041,1855
Frame: 14, Class: bird, Coor: 2132,1313,2295,1435
Frame: 14, Class: bird, Coor: 3425,1323,3497,1399
Frame: 15, Class: person, Coor: 3241,1866,3396,1983
Frame: 15, Class: car, Coor: 2382,1880,2439,1945
Frame: 15, Class: car, Coor: 2197,1881,2216,1907
Frame: 15, Class: bird, Coor: 2137,1864,2158,1889
Frame: 15, Class: person, Coor: 2079,1846,2099,1872
Frame: 15, Class: clock, Coor: 2019,1827,2041,1855
Frame: 15, Class: bird, Coor: 2137,1312,2299,1436
Frame: 15, Class: bird, Coor: 2490,1308,2598,1426
Frame: 15, Class: bird, Coor: 3424,1323,3497,1400
Frame: 15, Class: bird, Coor: 2835,360,2870,403
Frame: 15, Class: car, Coor: 2033,0,2063,27
Frame: 16, Class: car, Coor: 2382,1880,2439,1945
Frame: 16, Class: car, Coor: 2197,1882,2216,1907
Frame: 16, Class: car, Coor: 2138,1864,2158,1889
Frame: 16, Class: train, Coor: 2079,1846,2099,1872
Frame: 16, Class: person, Coor: 2018,1827,2041,1856
Frame: 16, Class: bird, Coor: 1707,1284,2017,1522
Frame: 16, Class: bird, Coor: 2139,1310,2300,1433
Frame: 16, Class: bird, Coor: 2490,1307,2598,1427
Frame: 16, Class: bird, Coor: 2033,0,2066,28
Frame: 17, Class: car, Coor: 2382,1880,2439,1945
Frame: 17, Class: car, Coor: 2197,1881,2216,1907
Frame: 17, Class: bird, Coor: 2138,1864,2158,1889
Frame: 17, Class: train, Coor: 2079,1846,2099,1872
Frame: 17, Class: car, Coor: 2018,1827,2041,1855
Frame: 17, Class: bird, Coor: 2142,1307,2305,1432
Frame: 17, Class: bird, Coor: 2491,1307,2599,1428
Frame: 18, Class: car, Coor: 3234,1861,3389,1982
Frame: 18, Class: car, Coor: 2382,1880,2439,1945
Frame: 18, Class: car, Coor: 2197,1881,2216,1907
Frame: 18, Class: car, Coor: 2138,1864,2158,1889
Frame: 18, Class: bird, Coor: 2146,1307,2305,1429
Frame: 18, Class: bird, Coor: 2491,1307,2599,1427
Frame: 18, Class: car, Coor: 1,90,139,204
Frame: 18, Class: bird, Coor: 111,0,235,95
Frame: 19, Class: person, Coor: 3233,1859,3388,1981
Frame: 19, Class: bird, Coor: 2382,1880,2439,1944
Frame: 19, Class: bird, Coor: 2198,1881,2217,1907
Frame: 19, Class: bird, Coor: 2138,1863,2158,1889
Frame: 19, Class: car, Coor: 2020,1827,2041,1855
Frame: 19, Class: bird, Coor: 2147,1305,2307,1426
Frame: 19, Class: car, Coor: 2545,378,2576,423
Frame: 20, Class: train, Coor: 3230,1857,3385,1980
Frame: 20, Class: car, Coor: 2382,1880,2439,1945
Frame: 20, Class: car, Coor: 2019,1827,2041,1855
Frame: 20, Class: clock, Coor: 2656,1474,2817,1621
Frame: 20, Class: bird, Coor: 2491,1307,2599,1427
Frame: 20, Class: bird, Coor: 2148,1302,2309,1425
Frame: 20, Class: car, Coor: 3425,1322,3497,1400
Frame: 21, Class: car, Coor: 3226,1856,3386,1981
Frame: 21, Class: car, Coor: 2382,1880,2439,1945
Frame: 21, Class: car, Coor: 2197,1881,2216,1907
Frame: 21, Class: bird, Coor: 2138,1864,2158,1889
Frame: 21, Class: bird, Coor: 2656,1473,2816,1622
Frame: 21, Class: bird, Coor: 2491,1307,2599,1427
Frame: 21, Class: car, Coor: 2151,1301,2311,1425
Frame: 22, Class: car, Coor: 3222,1854,3387,1982
Frame: 22, Class: bird, Coor: 2382,1880,2439,1945
Frame: 22, Class: bird, Coor: 2198,1881,2216,1907
Frame: 22, Class: bird, Coor: 2138,1864,2158,1889
Frame: 22, Class: car, Coor: 2079,1846,2099,1872
Frame: 22, Class: person, Coor: 2018,1827,2041,1856
Frame: 22, Class: car, Coor: 2952,1719,3123,1850
Frame: 22, Class: bird, Coor: 2714,1648,2749,1692
Frame: 22, Class: bird, Coor: 2655,1475,2816,1622
Frame: 22, Class: car, Coor: 2491,1308,2598,1427
Frame: 22, Class: car, Coor: 2153,1299,2314,1425
Frame: 23, Class: car, Coor: 3218,1854,3385,1981
Frame: 23, Class: car, Coor: 2382,1880,2440,1945
Frame: 23, Class: person, Coor: 2197,1881,2216,1907
Frame: 23, Class: bird, Coor: 2138,1864,2158,1889
Frame: 23, Class: car, Coor: 2079,1846,2099,1872
Frame: 23, Class: car, Coor: 2019,1827,2040,1855
Frame: 23, Class: bird, Coor: 2714,1648,2749,1692
Frame: 23, Class: bird, Coor: 2654,1474,2816,1622
Frame: 23, Class: bird, Coor: 1885,1397,2054,1533
Frame: 23, Class: bird, Coor: 2491,1307,2599,1427
